JobIDRaw|JobName|State|Elapsed|Timelimit|ReqMem|MaxRSS|AllocCPUS|TotalCPU|ExitCode
39696262|Xen_res1.5_ABT|FAILED|00:00:46|12:00:00|64Gn||8|00:26.126|1:0
39696262.batch|batch|FAILED|00:00:46||64Gn|372400K|8|00:26.125|1:0
39696262.extern|extern|COMPLETED|00:00:46||64Gn|2864K|8|00:00.001|0:0
39696263|Xen_res1.5_ABT|FAILED|00:00:28|12:00:00|64Gn||8|00:26.804|1:0
39696263.batch|batch|FAILED|00:00:28||64Gn|3532K|8|00:26.803|1:0
39696263.extern|extern|COMPLETED|00:00:28||64Gn|2864K|8|00:00:00|0:0
39698679|Xen_res1.5_ABT|FAILED|00:00:33|12:00:00|64Gn||8|00:31.415|1:0
39698679.batch|batch|FAILED|00:00:33||64Gn|2930876K|8|00:31.413|1:0
39698679.extern|extern|COMPLETED|00:00:33||64Gn|2856K|8|00:00.002|0:0
39698680|Xen_res1.5_ABT|FAILED|00:00:44|12:00:00|64Gn||8|00:33.906|1:0
39698680.batch|batch|FAILED|00:00:44||64Gn|917804K|8|00:33.904|1:0
39698680.extern|extern|COMPLETED|00:00:44||64Gn|2900K|8|00:00.001|0:0
39698681|Xen_res1.5_ABT|FAILED|00:00:46|12:00:00|64Gn||8|00:34.686|1:0
39698681.batch|batch|FAILED|00:00:46||64Gn|1055916K|8|00:34.685|1:0
39698681.extern|extern|COMPLETED|00:00:46||64Gn|2900K|8|00:00.001|0:0
39698682|Xen_res1.5_ABT|FAILED|00:00:54|12:00:00|64Gn||8|00:29.506|1:0
39698682.batch|batch|FAILED|00:00:54||64Gn|144828K|8|00:29.505|1:0
39698682.extern|extern|COMPLETED|00:00:54||64Gn|2864K|8|00:00:00|0:0
39698683|Xen_res1.5_ABT|FAILED|00:00:53|12:00:00|64Gn||8|00:44.423|1:0
39698683.batch|batch|FAILED|00:00:53||64Gn|1556500K|8|00:44.421|1:0
39698683.extern|extern|COMPLETED|00:00:54||64Gn|2856K|8|00:00.002|0:0
39698684|Xen_res1.5_ABT|FAILED|00:00:35|12:00:00|64Gn||8|00:33.348|1:0
39698684.batch|batch|FAILED|00:00:35||64Gn|1882400K|8|00:33.346|1:0
39698684.extern|extern|COMPLETED|00:00:35||64Gn|2900K|8|00:00.001|0:0
39698685|Xen_res1.5_ABT|FAILED|00:00:33|12:00:00|64Gn||8|00:31.434|1:0
39698685.batch|batch|FAILED|00:00:33||64Gn|2455012K|8|00:31.433|1:0
39698685.extern|extern|COMPLETED|00:00:33||64Gn|2900K|8|00:00.001|0:0
39698687|Xen_res1.5_ABT|FAILED|00:00:42|12:00:00|64Gn||8|00:41.477|1:0
39698687.batch|batch|FAILED|00:00:42||64Gn|2700552K|8|00:41.475|1:0
39698687.extern|extern|COMPLETED|00:00:43||64Gn|2856K|8|00:00.001|0:0
39698688|Xen_res1.5_ABT|FAILED|00:00:44|12:00:00|64Gn||8|00:43.162|1:0
39698688.batch|batch|FAILED|00:00:44||64Gn|2768908K|8|00:43.160|1:0
39698688.extern|extern|COMPLETED|00:00:44||64Gn|2856K|8|00:00.001|0:0
39698690|Xen_res1.5_ABT|FAILED|00:00:46|12:00:00|64Gn||8|00:43.797|1:0
39698690.batch|batch|FAILED|00:00:46||64Gn|2337476K|8|00:43.795|1:0
39698690.extern|extern|COMPLETED|00:00:46||64Gn|2900K|8|00:00.001|0:0
39698691|Xen_res1.5_ABT|FAILED|00:00:36|12:00:00|64Gn||8|00:34.655|1:0
39698691.batch|batch|FAILED|00:00:36||64Gn|3081856K|8|00:34.654|1:0
39698691.extern|extern|COMPLETED|00:00:36||64Gn|2864K|8|00:00:00|0:0
39698693|Xen_res1.5_ABT|FAILED|00:00:49|12:00:00|64Gn||8|00:47.230|1:0
39698693.batch|batch|FAILED|00:00:49||64Gn|2000100K|8|00:47.228|1:0
39698693.extern|extern|COMPLETED|00:00:49||64Gn|2900K|8|00:00.001|0:0
39698694|Xen_res1.5_ABT|FAILED|00:00:35|12:00:00|64Gn||8|00:31.456|1:0
39698694.batch|batch|FAILED|00:00:35||64Gn|2533528K|8|00:31.454|1:0
39698694.extern|extern|COMPLETED|00:00:35||64Gn|2856K|8|00:00.001|0:0
39698696|Xen_res1.5_ABT|FAILED|00:00:28|12:00:00|64Gn||8|00:26.555|1:0
39698696.batch|batch|FAILED|00:00:28||64Gn|3532K|8|00:26.554|1:0
39698696.extern|extern|COMPLETED|00:00:28||64Gn|2864K|8|00:00:00|0:0
